Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 13:02:12,-1,38,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,252,0,-89.56349,1.333982,0,0,
12/01/2024 13:02:16,-1,38,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,252,0,-105.1984,-0.7805943,0,1,
12/01/2024 13:02:20,-1,39,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,73.6638,57.80117,0,0,
12/01/2024 13:02:24,-1,39,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,43.05459,61.97652,0,1,
12/01/2024 13:02:28,-1,39,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,57.21161,55.68568,0,2,
12/01/2024 13:02:32,-1,40,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,216,0,-148.9137,-0.1027921,0,0,
12/01/2024 13:02:36,-1,41,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-67.28686,44.30687,0,0,
12/01/2024 13:02:40,-1,41,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-58.62764,36.79195,0,1,
12/01/2024 13:02:43,-1,41,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-52.17274,28.59079,0,2,
12/01/2024 13:02:47,-1,42,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,324,0,-26.40466,0.6173896,0,0,
